transaction_narration,label
PPF account contribution Ref001295 Amt6721 INR,investment
Home loan EMI deduction Ref001296 Amt21242 INR,emi
Ola cab booking Ref001297 Amt48095 INR,travel
Crypto investment transfer Ref001298 Amt42644 INR,investment
Credit card EMI payment Ref001299 Amt46445 INR,emi
Supermarket shopping bill Ref001300 Amt23484 INR,shopping
Hotel stay payment Ref001301 Amt11591 INR,travel
Demat account funding Ref001302 Amt48203 INR,investment
Credit card EMI payment Ref001303 Amt11746 INR,emi
Bakery item purchase Ref001304 Amt25763 INR,food
Amazon online shopping Ref001305 Amt12032 INR,shopping
Clothing store purchase Ref001306 Amt40167 INR,shopping
Hotel stay payment Ref001307 Amt6922 INR,travel
Stock market purchase Ref001308 Amt21803 INR,investment
Swiggy food delivery Ref001309 Amt22828 INR,food
Credit card EMI payment Ref001310 Amt41793 INR,emi
Restaurant bill payment Ref001311 Amt29370 INR,food
Restaurant bill payment Ref001312 Amt13841 INR,food
Uber ride payment Ref001313 Amt23069 INR,travel
Loan EMI auto debit Ref001314 Amt47313 INR,emi
Zomato order payment Ref001315 Amt25392 INR,food
Crypto investment transfer Ref001316 Amt11001 INR,investment
Crypto investment transfer Ref001317 Amt24919 INR,investment
Personal loan EMI Ref001318 Amt24698 INR,emi
Cafe coffee purchase Ref001319 Amt37983 INR,food
Ola cab booking Ref001320 Amt29675 INR,travel
Zomato order payment Ref001321 Amt19427 INR,food
Restaurant bill payment Ref001322 Amt17213 INR,food
Zomato order payment Ref001323 Amt22500 INR,food
Flight ticket purchase Ref001324 Amt10645 INR,travel
Bakery item purchase Ref001325 Amt6201 INR,food
Personal loan EMI Ref001326 Amt40315 INR,emi
Mutual fund SIP investment Ref001327 Amt28367 INR,investment
Hotel stay payment Ref001328 Amt28555 INR,travel
Uber ride payment Ref001329 Amt6736 INR,travel
Credit card EMI payment Ref001330 Amt12550 INR,emi
PPF account contribution Ref001331 Amt47419 INR,investment
Clothing store purchase Ref001332 Amt43392 INR,shopping
Home loan EMI deduction Ref001333 Amt15667 INR,emi
Zomato order payment Ref001334 Amt25849 INR,food
Supermarket shopping bill Ref001335 Amt32274 INR,shopping
Uber ride payment Ref001336 Amt23747 INR,travel
Cafe coffee purchase Ref001337 Amt5842 INR,food
Personal loan EMI Ref001338 Amt31578 INR,emi
Uber ride payment Ref001339 Amt1786 INR,travel
Ola cab booking Ref001340 Amt41924 INR,travel
Loan EMI auto debit Ref001341 Amt31135 INR,emi
Restaurant bill payment Ref001342 Amt26148 INR,food
Crypto investment transfer Ref001343 Amt43421 INR,investment
Loan EMI auto debit Ref001344 Amt42165 INR,emi
Electronics store payment Ref001345 Amt12216 INR,shopping
Bike loan installment Ref001346 Amt24309 INR,emi
Flight ticket purchase Ref001347 Amt3024 INR,travel
Bike loan installment Ref001348 Amt30578 INR,emi
Credit card EMI payment Ref001349 Amt17700 INR,emi
Amazon online shopping Ref001350 Amt10004 INR,shopping
Zomato order payment Ref001351 Amt43887 INR,food
Personal loan EMI Ref001352 Amt27231 INR,emi
Flipkart purchase Ref001353 Amt36380 INR,shopping
Cafe coffee purchase Ref001354 Amt34347 INR,food
PPF account contribution Ref001355 Amt45127 INR,investment
PPF account contribution Ref001356 Amt15543 INR,investment
Demat account funding Ref001357 Amt5274 INR,investment
Mutual fund SIP investment Ref001358 Amt33005 INR,investment
Supermarket shopping bill Ref001359 Amt37552 INR,shopping
Flipkart purchase Ref001360 Amt7982 INR,shopping
Stock market purchase Ref001361 Amt11055 INR,investment
Ola cab booking Ref001362 Amt8369 INR,travel
Cafe coffee purchase Ref001363 Amt5235 INR,food
Stock market purchase Ref001364 Amt41205 INR,investment
Hotel stay payment Ref001365 Amt17000 INR,travel
Loan EMI auto debit Ref001366 Amt5803 INR,emi
PPF account contribution Ref001367 Amt26141 INR,investment
Clothing store purchase Ref001368 Amt18201 INR,shopping
Electronics store payment Ref001369 Amt910 INR,shopping
Supermarket shopping bill Ref001370 Amt34346 INR,shopping
Mutual fund SIP investment Ref001371 Amt27260 INR,investment
Ola cab booking Ref001372 Amt37232 INR,travel
Supermarket shopping bill Ref001373 Amt49801 INR,shopping
Zomato order payment Ref001374 Amt36976 INR,food
Restaurant bill payment Ref001375 Amt35203 INR,food
Bike loan installment Ref001376 Amt17410 INR,emi
Crypto investment transfer Ref001377 Amt37588 INR,investment
Electronics store payment Ref001378 Amt2555 INR,shopping
Train ticket booking IRCTC Ref001379 Amt26509 INR,travel
Hotel stay payment Ref001380 Amt39988 INR,travel
Mutual fund SIP investment Ref001381 Amt26038 INR,investment
Credit card EMI payment Ref001382 Amt3330 INR,emi
Demat account funding Ref001383 Amt24508 INR,investment
Restaurant bill payment Ref001384 Amt19961 INR,food
Home loan EMI deduction Ref001385 Amt32318 INR,emi
Swiggy food delivery Ref001386 Amt8907 INR,food
Bike loan installment Ref001387 Amt21128 INR,emi
Bike loan installment Ref001388 Amt39747 INR,emi
Swiggy food delivery Ref001389 Amt29048 INR,food
Flight ticket purchase Ref001390 Amt48658 INR,travel
PPF account contribution Ref001391 Amt24604 INR,investment
Bakery item purchase Ref001392 Amt10518 INR,food
Restaurant bill payment Ref001393 Amt46602 INR,food
Electronics store payment Ref001394 Amt8989 INR,shopping
Supermarket shopping bill Ref001395 Amt1997 INR,shopping
Ola cab booking Ref001396 Amt13254 INR,travel
Swiggy food delivery Ref001397 Amt2267 INR,food
Mutual fund SIP investment Ref001398 Amt23717 INR,investment
Train ticket booking IRCTC Ref001399 Amt24240 INR,travel
PPF account contribution Ref001400 Amt26114 INR,investment
Zomato order payment Ref001401 Amt15955 INR,food
Bike loan installment Ref001402 Amt39031 INR,emi
Stock market purchase Ref001403 Amt31202 INR,investment
Supermarket shopping bill Ref001404 Amt23021 INR,shopping
Credit card EMI payment Ref001405 Amt17051 INR,emi
Restaurant bill payment Ref001406 Amt1898 INR,food
Mutual fund SIP investment Ref001407 Amt10776 INR,investment
Flipkart purchase Ref001408 Amt14606 INR,shopping
Ola cab booking Ref001409 Amt17734 INR,travel
PPF account contribution Ref001410 Amt1414 INR,investment
Cafe coffee purchase Ref001411 Amt8771 INR,food
Hotel stay payment Ref001412 Amt654 INR,travel
Train ticket booking IRCTC Ref001413 Amt39968 INR,travel
Home loan EMI deduction Ref001414 Amt27874 INR,emi
Demat account funding Ref001415 Amt30180 INR,investment
Credit card EMI payment Ref001416 Amt30685 INR,emi
Personal loan EMI Ref001417 Amt40968 INR,emi
PPF account contribution Ref001418 Amt6805 INR,investment
Bakery item purchase Ref001419 Amt43508 INR,food
Personal loan EMI Ref001420 Amt42524 INR,emi
Supermarket shopping bill Ref001421 Amt18625 INR,shopping
Loan EMI auto debit Ref001422 Amt31671 INR,emi
Restaurant bill payment Ref001423 Amt18219 INR,food
Home loan EMI deduction Ref001424 Amt17214 INR,emi
Credit card EMI payment Ref001425 Amt9925 INR,emi
Flipkart purchase Ref001426 Amt3820 INR,shopping
Electronics store payment Ref001427 Amt43388 INR,shopping
Credit card EMI payment Ref001428 Amt47370 INR,emi
Cafe coffee purchase Ref001429 Amt19472 INR,food
Bike loan installment Ref001430 Amt26615 INR,emi
Mutual fund SIP investment Ref001431 Amt38309 INR,investment
Flipkart purchase Ref001432 Amt22589 INR,shopping
Hotel stay payment Ref001433 Amt41932 INR,travel
Demat account funding Ref001434 Amt33347 INR,investment
Credit card EMI payment Ref001435 Amt43197 INR,emi
Flipkart purchase Ref001436 Amt19353 INR,shopping
Cafe coffee purchase Ref001437 Amt8484 INR,food
Personal loan EMI Ref001438 Amt12097 INR,emi
Loan EMI auto debit Ref001439 Amt14665 INR,emi
Credit card EMI payment Ref001440 Amt48872 INR,emi
Bike loan installment Ref001441 Amt21813 INR,emi
Home loan EMI deduction Ref001442 Amt38475 INR,emi
Bike loan installment Ref001443 Amt7818 INR,emi
Mutual fund SIP investment Ref001444 Amt41675 INR,investment
Supermarket shopping bill Ref001445 Amt40775 INR,shopping
Cafe coffee purchase Ref001446 Amt12849 INR,food
Amazon online shopping Ref001447 Amt44710 INR,shopping
PPF account contribution Ref001448 Amt19653 INR,investment
Mutual fund SIP investment Ref001449 Amt9981 INR,investment
Ola cab booking Ref001450 Amt22557 INR,travel
PPF account contribution Ref001451 Amt30087 INR,investment
Train ticket booking IRCTC Ref001452 Amt47002 INR,travel
Uber ride payment Ref001453 Amt32054 INR,travel
Credit card EMI payment Ref001454 Amt20639 INR,emi
Zomato order payment Ref001455 Amt29725 INR,food
Credit card EMI payment Ref001456 Amt49985 INR,emi
Hotel stay payment Ref001457 Amt10483 INR,travel
Mutual fund SIP investment Ref001458 Amt8580 INR,investment
Electronics store payment Ref001459 Amt41616 INR,shopping
Crypto investment transfer Ref001460 Amt28216 INR,investment
Crypto investment transfer Ref001461 Amt405 INR,investment
Bakery item purchase Ref001462 Amt13168 INR,food
Loan EMI auto debit Ref001463 Amt21216 INR,emi
Flipkart purchase Ref001464 Amt1274 INR,shopping
Swiggy food delivery Ref001465 Amt14928 INR,food
Home loan EMI deduction Ref001466 Amt8549 INR,emi
Cafe coffee purchase Ref001467 Amt33086 INR,food
Clothing store purchase Ref001468 Amt11045 INR,shopping
Zomato order payment Ref001469 Amt19642 INR,food
Bike loan installment Ref001470 Amt47799 INR,emi
Supermarket shopping bill Ref001471 Amt34448 INR,shopping
Bike loan installment Ref001472 Amt45108 INR,emi
Train ticket booking IRCTC Ref001473 Amt32224 INR,travel
Credit card EMI payment Ref001474 Amt10905 INR,emi
Mutual fund SIP investment Ref001475 Amt15069 INR,investment
Ola cab booking Ref001476 Amt13940 INR,travel
Bakery item purchase Ref001477 Amt33171 INR,food
Uber ride payment Ref001478 Amt24124 INR,travel
Cafe coffee purchase Ref001479 Amt42064 INR,food
Personal loan EMI Ref001480 Amt40937 INR,emi
Bakery item purchase Ref001481 Amt3243 INR,food
Zomato order payment Ref001482 Amt3261 INR,food
Cafe coffee purchase Ref001483 Amt29218 INR,food
Mutual fund SIP investment Ref001484 Amt35966 INR,investment
Bike loan installment Ref001485 Amt46097 INR,emi
Ola cab booking Ref001486 Amt45660 INR,travel
Restaurant bill payment Ref001487 Amt27682 INR,food
Bakery item purchase Ref001488 Amt17793 INR,food
Supermarket shopping bill Ref001489 Amt46022 INR,shopping
Flight ticket purchase Ref001490 Amt6975 INR,travel
Supermarket shopping bill Ref001491 Amt7815 INR,shopping
Loan EMI auto debit Ref001492 Amt7064 INR,emi
Stock market purchase Ref001493 Amt40011 INR,investment
Train ticket booking IRCTC Ref001494 Amt34384 INR,travel
Train ticket booking IRCTC Ref001495 Amt46200 INR,travel
Demat account funding Ref001496 Amt10610 INR,investment
Bakery item purchase Ref001497 Amt32629 INR,food
Flight ticket purchase Ref001498 Amt21766 INR,travel
Uber ride payment Ref001499 Amt935 INR,travel
Zomato order payment Ref001500 Amt37727 INR,food
Stock market purchase Ref001501 Amt6003 INR,investment
Amazon online shopping Ref001502 Amt47519 INR,shopping
Restaurant bill payment Ref001503 Amt42327 INR,food
Flight ticket purchase Ref001504 Amt19500 INR,travel
Bike loan installment Ref001505 Amt3382 INR,emi
Swiggy food delivery Ref001506 Amt2685 INR,food
Home loan EMI deduction Ref001507 Amt44452 INR,emi
Bike loan installment Ref001508 Amt48500 INR,emi
Zomato order payment Ref001509 Amt49789 INR,food
Zomato order payment Ref001510 Amt9169 INR,food
Train ticket booking IRCTC Ref001511 Amt23530 INR,travel
PPF account contribution Ref001512 Amt17683 INR,investment
Restaurant bill payment Ref001513 Amt22560 INR,food
Uber ride payment Ref001514 Amt26365 INR,travel
Crypto investment transfer Ref001515 Amt17914 INR,investment
Crypto investment transfer Ref001516 Amt27739 INR,investment
Uber ride payment Ref001517 Amt8784 INR,travel
Swiggy food delivery Ref001518 Amt6896 INR,food
PPF account contribution Ref001519 Amt31732 INR,investment
Electronics store payment Ref001520 Amt11979 INR,shopping
Electronics store payment Ref001521 Amt23601 INR,shopping
Amazon online shopping Ref001522 Amt44957 INR,shopping
Flight ticket purchase Ref001523 Amt32089 INR,travel
Cafe coffee purchase Ref001524 Amt28980 INR,food
Zomato order payment Ref001525 Amt17245 INR,food
Loan EMI auto debit Ref001526 Amt46274 INR,emi
Supermarket shopping bill Ref001527 Amt47533 INR,shopping
Flipkart purchase Ref001528 Amt43998 INR,shopping
Personal loan EMI Ref001529 Amt34382 INR,emi
Amazon online shopping Ref001530 Amt28467 INR,shopping
Flight ticket purchase Ref001531 Amt22759 INR,travel
Stock market purchase Ref001532 Amt36691 INR,investment
Amazon online shopping Ref001533 Amt863 INR,shopping
Hotel stay payment Ref001534 Amt30855 INR,travel
Stock market purchase Ref001535 Amt5006 INR,investment
Demat account funding Ref001536 Amt15887 INR,investment
Home loan EMI deduction Ref001537 Amt3399 INR,emi
Flipkart purchase Ref001538 Amt36177 INR,shopping
Crypto investment transfer Ref001539 Amt15500 INR,investment
Cafe coffee purchase Ref001540 Amt29210 INR,food
Electronics store payment Ref001541 Amt5868 INR,shopping
Crypto investment transfer Ref001542 Amt20813 INR,investment
Cafe coffee purchase Ref001543 Amt48939 INR,food
Zomato order payment Ref001544 Amt26539 INR,food
Mutual fund SIP investment Ref001545 Amt36612 INR,investment
Amazon online shopping Ref001546 Amt6056 INR,shopping
Supermarket shopping bill Ref001547 Amt41881 INR,shopping
Personal loan EMI Ref001548 Amt36953 INR,emi
Flight ticket purchase Ref001549 Amt22438 INR,travel
Loan EMI auto debit Ref001550 Amt14709 INR,emi
Demat account funding Ref001551 Amt36810 INR,investment
Supermarket shopping bill Ref001552 Amt31107 INR,shopping
Bike loan installment Ref001553 Amt7572 INR,emi
Swiggy food delivery Ref001554 Amt243 INR,food
Home loan EMI deduction Ref001555 Amt41627 INR,emi
Personal loan EMI Ref001556 Amt34308 INR,emi
Loan EMI auto debit Ref001557 Amt3100 INR,emi
Flight ticket purchase Ref001558 Amt9304 INR,travel
Mutual fund SIP investment Ref001559 Amt16765 INR,investment
Flipkart purchase Ref001560 Amt12390 INR,shopping
Cafe coffee purchase Ref001561 Amt14228 INR,food
Stock market purchase Ref001562 Amt47075 INR,investment
Loan EMI auto debit Ref001563 Amt49720 INR,emi
Mutual fund SIP investment Ref001564 Amt41600 INR,investment
Amazon online shopping Ref001565 Amt29624 INR,shopping
PPF account contribution Ref001566 Amt33143 INR,investment
Flight ticket purchase Ref001567 Amt384 INR,travel
Amazon online shopping Ref001568 Amt36356 INR,shopping
PPF account contribution Ref001569 Amt31749 INR,investment
Flipkart purchase Ref001570 Amt45438 INR,shopping
Flipkart purchase Ref001571 Amt47973 INR,shopping
Uber ride payment Ref001572 Amt25489 INR,travel
Supermarket shopping bill Ref001573 Amt21192 INR,shopping
Electronics store payment Ref001574 Amt27537 INR,shopping
Flipkart purchase Ref001575 Amt18030 INR,shopping
Demat account funding Ref001576 Amt19378 INR,investment
Stock market purchase Ref001577 Amt9155 INR,investment
PPF account contribution Ref001578 Amt45976 INR,investment
Clothing store purchase Ref001579 Amt46073 INR,shopping
Clothing store purchase Ref001580 Amt46753 INR,shopping
Flipkart purchase Ref001581 Amt13265 INR,shopping
Hotel stay payment Ref001582 Amt46917 INR,travel
Home loan EMI deduction Ref001583 Amt44164 INR,emi
Ola cab booking Ref001584 Amt33123 INR,travel
Clothing store purchase Ref001585 Amt46653 INR,shopping
Restaurant bill payment Ref001586 Amt36949 INR,food
PPF account contribution Ref001587 Amt37497 INR,investment
PPF account contribution Ref001588 Amt18838 INR,investment
Mutual fund SIP investment Ref001589 Amt34357 INR,investment
Zomato order payment Ref001590 Amt25060 INR,food
Uber ride payment Ref001591 Amt44025 INR,travel
Swiggy food delivery Ref001592 Amt17596 INR,food
Train ticket booking IRCTC Ref001593 Amt44886 INR,travel
Credit card EMI payment Ref001594 Amt4165 INR,emi
Credit card EMI payment Ref001595 Amt49487 INR,emi
Amazon online shopping Ref001596 Amt23606 INR,shopping
Mutual fund SIP investment Ref001597 Amt40477 INR,investment
Flipkart purchase Ref001598 Amt48754 INR,shopping
Electronics store payment Ref001599 Amt15671 INR,shopping
Clothing store purchase Ref001600 Amt45512 INR,shopping
Cafe coffee purchase Ref001601 Amt25498 INR,food
Demat account funding Ref001602 Amt36284 INR,investment
Zomato order payment Ref001603 Amt48837 INR,food
Credit card EMI payment Ref001604 Amt40769 INR,emi
Stock market purchase Ref001605 Amt41635 INR,investment
Personal loan EMI Ref001606 Amt35922 INR,emi
Flipkart purchase Ref001607 Amt47607 INR,shopping
Train ticket booking IRCTC Ref001608 Amt29513 INR,travel
Uber ride payment Ref001609 Amt12353 INR,travel
Hotel stay payment Ref001610 Amt7921 INR,travel
Mutual fund SIP investment Ref001611 Amt28182 INR,investment
Personal loan EMI Ref001612 Amt17417 INR,emi
Ola cab booking Ref001613 Amt38372 INR,travel
Loan EMI auto debit Ref001614 Amt21763 INR,emi
Stock market purchase Ref001615 Amt2717 INR,investment
Train ticket booking IRCTC Ref001616 Amt39217 INR,travel
Bakery item purchase Ref001617 Amt43477 INR,food
Bike loan installment Ref001618 Amt37630 INR,emi
Clothing store purchase Ref001619 Amt4876 INR,shopping
Personal loan EMI Ref001620 Amt14515 INR,emi
Hotel stay payment Ref001621 Amt4568 INR,travel
Flipkart purchase Ref001622 Amt27358 INR,shopping
Supermarket shopping bill Ref001623 Amt26538 INR,shopping
Restaurant bill payment Ref001624 Amt14596 INR,food
Train ticket booking IRCTC Ref001625 Amt21796 INR,travel
Home loan EMI deduction Ref001626 Amt14416 INR,emi
Supermarket shopping bill Ref001627 Amt31220 INR,shopping
Amazon online shopping Ref001628 Amt7618 INR,shopping
Bike loan installment Ref001629 Amt15851 INR,emi
Supermarket shopping bill Ref001630 Amt16079 INR,shopping
Restaurant bill payment Ref001631 Amt25093 INR,food
Cafe coffee purchase Ref001632 Amt16915 INR,food
Clothing store purchase Ref001633 Amt1719 INR,shopping
Clothing store purchase Ref001634 Amt33805 INR,shopping
Electronics store payment Ref001635 Amt32003 INR,shopping
Restaurant bill payment Ref001636 Amt42798 INR,food
Train ticket booking IRCTC Ref001637 Amt33778 INR,travel
Zomato order payment Ref001638 Amt11070 INR,food
Supermarket shopping bill Ref001639 Amt580 INR,shopping
Swiggy food delivery Ref001640 Amt44031 INR,food
Flight ticket purchase Ref001641 Amt6910 INR,travel
Hotel stay payment Ref001642 Amt46154 INR,travel
Mutual fund SIP investment Ref001643 Amt49048 INR,investment
Uber ride payment Ref001644 Amt30195 INR,travel
Loan EMI auto debit Ref001645 Amt5835 INR,emi
Zomato order payment Ref001646 Amt11764 INR,food
Personal loan EMI Ref001647 Amt4716 INR,emi
Flipkart purchase Ref001648 Amt17050 INR,shopping
Crypto investment transfer Ref001649 Amt29664 INR,investment
Crypto investment transfer Ref001650 Amt20835 INR,investment
Cafe coffee purchase Ref001651 Amt44225 INR,food
Bakery item purchase Ref001652 Amt486 INR,food
Amazon online shopping Ref001653 Amt49642 INR,shopping
Amazon online shopping Ref001654 Amt46033 INR,shopping
Restaurant bill payment Ref001655 Amt33053 INR,food
Restaurant bill payment Ref001656 Amt45049 INR,food
Personal loan EMI Ref001657 Amt5769 INR,emi
Bike loan installment Ref001658 Amt25096 INR,emi
Mutual fund SIP investment Ref001659 Amt31163 INR,investment
Hotel stay payment Ref001660 Amt14509 INR,travel
Flight ticket purchase Ref001661 Amt35864 INR,travel
Credit card EMI payment Ref001662 Amt19633 INR,emi
Loan EMI auto debit Ref001663 Amt36375 INR,emi
Flipkart purchase Ref001664 Amt8176 INR,shopping
Zomato order payment Ref001665 Amt37633 INR,food
Electronics store payment Ref001666 Amt35302 INR,shopping
Amazon online shopping Ref001667 Amt20068 INR,shopping
Train ticket booking IRCTC Ref001668 Amt13976 INR,travel
PPF account contribution Ref001669 Amt9435 INR,investment
Ola cab booking Ref001670 Amt14569 INR,travel
Clothing store purchase Ref001671 Amt12835 INR,shopping
Swiggy food delivery Ref001672 Amt44073 INR,food
Amazon online shopping Ref001673 Amt49320 INR,shopping
Electronics store payment Ref001674 Amt42349 INR,shopping
Amazon online shopping Ref001675 Amt19148 INR,shopping
Restaurant bill payment Ref001676 Amt6535 INR,food
Hotel stay payment Ref001677 Amt32028 INR,travel
Home loan EMI deduction Ref001678 Amt8502 INR,emi
Uber ride payment Ref001679 Amt18786 INR,travel
Amazon online shopping Ref001680 Amt12781 INR,shopping
Bike loan installment Ref001681 Amt29633 INR,emi
Personal loan EMI Ref001682 Amt43315 INR,emi
Personal loan EMI Ref001683 Amt10087 INR,emi
Supermarket shopping bill Ref001684 Amt23987 INR,shopping
Bike loan installment Ref001685 Amt11151 INR,emi
Restaurant bill payment Ref001686 Amt16233 INR,food
Flight ticket purchase Ref001687 Amt18232 INR,travel
Credit card EMI payment Ref001688 Amt44636 INR,emi
Bike loan installment Ref001689 Amt30433 INR,emi
Demat account funding Ref001690 Amt20119 INR,investment
PPF account contribution Ref001691 Amt7232 INR,investment
Hotel stay payment Ref001692 Amt5472 INR,travel
Credit card EMI payment Ref001693 Amt35398 INR,emi
Train ticket booking IRCTC Ref001694 Amt48173 INR,travel
Zomato order payment Ref001695 Amt1320 INR,food
Amazon online shopping Ref001696 Amt38234 INR,shopping
Electronics store payment Ref001697 Amt38768 INR,shopping
Uber ride payment Ref001698 Amt36249 INR,travel
Personal loan EMI Ref001699 Amt35468 INR,emi
Stock market purchase Ref001700 Amt24074 INR,investment
Stock market purchase Ref001701 Amt38740 INR,investment
Credit card EMI payment Ref001702 Amt30554 INR,emi
Supermarket shopping bill Ref001703 Amt6034 INR,shopping
Demat account funding Ref001704 Amt33010 INR,investment
Swiggy food delivery Ref001705 Amt40341 INR,food
Hotel stay payment Ref001706 Amt9299 INR,travel
Stock market purchase Ref001707 Amt11840 INR,investment
Supermarket shopping bill Ref001708 Amt43315 INR,shopping
Flight ticket purchase Ref001709 Amt23614 INR,travel
Swiggy food delivery Ref001710 Amt32058 INR,food
Uber ride payment Ref001711 Amt17424 INR,travel
Credit card EMI payment Ref001712 Amt2905 INR,emi
Hotel stay payment Ref001713 Amt23774 INR,travel
Crypto investment transfer Ref001714 Amt29895 INR,investment
Zomato order payment Ref001715 Amt42601 INR,food
Loan EMI auto debit Ref001716 Amt46220 INR,emi
Clothing store purchase Ref001717 Amt48721 INR,shopping
Personal loan EMI Ref001718 Amt35774 INR,emi
Flipkart purchase Ref001719 Amt24784 INR,shopping
Demat account funding Ref001720 Amt38614 INR,investment
Bakery item purchase Ref001721 Amt16587 INR,food
Stock market purchase Ref001722 Amt33940 INR,investment
Demat account funding Ref001723 Amt22712 INR,investment
Crypto investment transfer Ref001724 Amt39697 INR,investment
Bakery item purchase Ref001725 Amt9207 INR,food
Stock market purchase Ref001726 Amt15172 INR,investment
Bakery item purchase Ref001727 Amt42270 INR,food
Credit card EMI payment Ref001728 Amt9946 INR,emi
Ola cab booking Ref001729 Amt23838 INR,travel
Amazon online shopping Ref001730 Amt43426 INR,shopping
Flight ticket purchase Ref001731 Amt21741 INR,travel
Cafe coffee purchase Ref001732 Amt44351 INR,food
Crypto investment transfer Ref001733 Amt13908 INR,investment
Flipkart purchase Ref001734 Amt42518 INR,shopping
Mutual fund SIP investment Ref001735 Amt16069 INR,investment
Swiggy food delivery Ref001736 Amt37684 INR,food
Flipkart purchase Ref001737 Amt8929 INR,shopping
Amazon online shopping Ref001738 Amt37604 INR,shopping
Uber ride payment Ref001739 Amt11001 INR,travel
Credit card EMI payment Ref001740 Amt33958 INR,emi
PPF account contribution Ref001741 Amt37036 INR,investment
Restaurant bill payment Ref001742 Amt5719 INR,food
Flight ticket purchase Ref001743 Amt39849 INR,travel
Crypto investment transfer Ref001744 Amt11278 INR,investment
Flight ticket purchase Ref001745 Amt39476 INR,travel
Hotel stay payment Ref001746 Amt12019 INR,travel
Supermarket shopping bill Ref001747 Amt17435 INR,shopping
Train ticket booking IRCTC Ref001748 Amt29818 INR,travel
Supermarket shopping bill Ref001749 Amt4611 INR,shopping
Flight ticket purchase Ref001750 Amt25361 INR,travel
Uber ride payment Ref001751 Amt1185 INR,travel
Hotel stay payment Ref001752 Amt33153 INR,travel
Stock market purchase Ref001753 Amt39782 INR,investment
Swiggy food delivery Ref001754 Amt31286 INR,food
Supermarket shopping bill Ref001755 Amt2658 INR,shopping
Supermarket shopping bill Ref001756 Amt49408 INR,shopping
Zomato order payment Ref001757 Amt31704 INR,food
Hotel stay payment Ref001758 Amt35442 INR,travel
Cafe coffee purchase Ref001759 Amt34312 INR,food
Demat account funding Ref001760 Amt2946 INR,investment
Electronics store payment Ref001761 Amt15139 INR,shopping
Crypto investment transfer Ref001762 Amt23071 INR,investment
Supermarket shopping bill Ref001763 Amt6503 INR,shopping
Stock market purchase Ref001764 Amt16780 INR,investment
Stock market purchase Ref001765 Amt5593 INR,investment
Personal loan EMI Ref001766 Amt35733 INR,emi
Demat account funding Ref001767 Amt12487 INR,investment
Zomato order payment Ref001768 Amt37978 INR,food
Amazon online shopping Ref001769 Amt34163 INR,shopping
Cafe coffee purchase Ref001770 Amt42996 INR,food
Train ticket booking IRCTC Ref001771 Amt26894 INR,travel
Loan EMI auto debit Ref001772 Amt10243 INR,emi
PPF account contribution Ref001773 Amt16722 INR,investment
Personal loan EMI Ref001774 Amt27858 INR,emi
Clothing store purchase Ref001775 Amt40200 INR,shopping
Bike loan installment Ref001776 Amt49577 INR,emi
Flight ticket purchase Ref001777 Amt36282 INR,travel
Electronics store payment Ref001778 Amt11812 INR,shopping
Personal loan EMI Ref001779 Amt36466 INR,emi
Demat account funding Ref001780 Amt20196 INR,investment
Clothing store purchase Ref001781 Amt46335 INR,shopping
Stock market purchase Ref001782 Amt43306 INR,investment
Swiggy food delivery Ref001783 Amt29368 INR,food
Uber ride payment Ref001784 Amt14154 INR,travel
Electronics store payment Ref001785 Amt22279 INR,shopping
Supermarket shopping bill Ref001786 Amt45782 INR,shopping
Swiggy food delivery Ref001787 Amt25600 INR,food
Zomato order payment Ref001788 Amt9624 INR,food
PPF account contribution Ref001789 Amt28632 INR,investment
Zomato order payment Ref001790 Amt17341 INR,food
Train ticket booking IRCTC Ref001791 Amt5345 INR,travel
Amazon online shopping Ref001792 Amt47580 INR,shopping
Crypto investment transfer Ref001793 Amt40336 INR,investment
Clothing store purchase Ref001794 Amt46735 INR,shopping
Amazon online shopping Ref001795 Amt11586 INR,shopping
Crypto investment transfer Ref001796 Amt801 INR,investment
Hotel stay payment Ref001797 Amt18843 INR,travel
Uber ride payment Ref001798 Amt39389 INR,travel
Supermarket shopping bill Ref001799 Amt45873 INR,shopping
Hotel stay payment Ref001800 Amt11207 INR,travel
Restaurant bill payment Ref001801 Amt15779 INR,food
Swiggy food delivery Ref001802 Amt5791 INR,food
Bike loan installment Ref001803 Amt23242 INR,emi
Crypto investment transfer Ref001804 Amt38509 INR,investment
Hotel stay payment Ref001805 Amt1107 INR,travel
Zomato order payment Ref001806 Amt36118 INR,food
Personal loan EMI Ref001807 Amt38303 INR,emi
Home loan EMI deduction Ref001808 Amt18221 INR,emi
Hotel stay payment Ref001809 Amt12848 INR,travel
Crypto investment transfer Ref001810 Amt37777 INR,investment
Restaurant bill payment Ref001811 Amt11571 INR,food
PPF account contribution Ref001812 Amt7077 INR,investment
Amazon online shopping Ref001813 Amt33075 INR,shopping
Home loan EMI deduction Ref001814 Amt7768 INR,emi
Clothing store purchase Ref001815 Amt35352 INR,shopping
Clothing store purchase Ref001816 Amt45594 INR,shopping
Crypto investment transfer Ref001817 Amt37007 INR,investment
Stock market purchase Ref001818 Amt49741 INR,investment
Bike loan installment Ref001819 Amt44768 INR,emi
PPF account contribution Ref001820 Amt1892 INR,investment
Mutual fund SIP investment Ref001821 Amt16996 INR,investment
Cafe coffee purchase Ref001822 Amt41627 INR,food
Ola cab booking Ref001823 Amt20791 INR,travel
